symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,target
5,164,99.80000305,176.6000061,66.19999695,54.29999924,2337,109,3.190000057,3.400000095,10,102,5500,24,30,13950
5,164,99.40000153,176.6000061,66.40000153,54.29999924,2824,136,3.190000057,3.400000095,8,115,5500,18,22,17450
4,158,105.8000031,192.6999969,71.40000153,55.70000076,2844,136,3.190000057,3.400000095,8.5,110,5500,19,25,17710
4,158,105.8000031,192.6999969,71.40000153,55.90000153,3086,131,3.130000114,3.400000095,8.300000191,140,5500,17,20,23875
5,192,101.1999969,176.8000031,64.80000305,54.29999924,2395,108,3.5,2.799999952,8.800000191,101,5800,23,29,16430
3,192,101.1999969,176.8000031,64.80000305,54.29999924,2395,108,3.5,2.799999952,8.800000191,101,5800,23,29,16925
3,188,101.1999969,176.8000031,64.80000305,54.29999924,2710,164,3.309999943,3.190000057,9,121,4250,21,28,20970
3,188,101.1999969,176.8000031,64.80000305,54.29999924,2765,164,3.309999943,3.190000057,9,121,4250,21,28,21105
5,121,88.40000153,141.1000061,60.29999924,53.20000076,1488,61,2.910000086,3.029999971,9.5,48,5100,47,53,5151
4,98,94.5,155.8999939,63.59999847,52,1874,90,3.029999971,3.109999895,9.600000381,70,5400,38,43,6295
3,81,94.5,158.8000031,63.59999847,52,1909,90,3.029999971,3.109999895,9.600000381,70,5400,38,43,6575
4,118,93.69999695,157.3000031,63.79999924,50.79999924,1876,90,2.970000029,3.230000019,9.409999847,68,5500,37,41,5572
4,118,93.69999695,157.3000031,63.79999924,50.79999924,1876,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,6377
4,118,93.69999695,157.3000031,63.79999924,50.79999924,2128,98,3.029999971,3.390000105,7.599999905,102,5500,24,30,7957
4,148,93.69999695,157.3000031,63.79999924,50.59999847,1967,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,6229
4,148,93.69999695,157.3000031,63.79999924,50.59999847,1989,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,6692
4,148,93.69999695,157.3000031,63.79999924,50.59999847,1989,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,7609
2,110,103.3000031,174.6000061,64.59999847,59.79999924,2535,122,3.339999914,3.460000038,8.5,88,5000,24,30,8921
6,145,95.90000153,173.1999969,66.30000305,50.20000076,2811,156,3.599999905,3.900000095,7,145,5000,19,24,12964
5,137,86.59999847,144.6000061,63.90000153,50.79999924,1713,92,2.910000086,3.410000086,9.600000381,58,4800,49,54,6479
5,137,86.59999847,144.6000061,63.90000153,50.79999924,1819,92,2.910000086,3.410000086,9.199999809,76,6000,31,38,6855
4,101,93.69999695,150,64,52.59999847,1837,79,2.910000086,3.069999933,10.10000038,60,5500,38,42,5399
4,101,93.69999695,150,64,52.59999847,1940,92,2.910000086,3.410000086,9.199999809,76,6000,30,34,6529
4,101,93.69999695,150,64,52.59999847,1956,92,2.910000086,3.410000086,9.199999809,76,6000,30,34,7129
3,110,96.5,163.3999939,64,54.5,2010,92,2.910000086,3.410000086,9.199999809,76,6000,30,34,7295
3,78,96.5,157.1000061,63.90000153,58.29999924,2024,92,2.920000076,3.410000086,9.199999809,76,6000,30,34,7295
3,106,96.5,167.5,65.19999695,53.29999924,2236,110,3.150000095,3.579999924,9,86,5800,27,33,7895
3,106,96.5,167.5,65.19999695,53.29999924,2289,110,3.150000095,3.579999924,9,86,5800,27,33,9095
3,85,96.5,175.3999939,65.19999695,54.09999847,2304,110,3.150000095,3.579999924,9,86,5800,27,33,8845
3,85,96.5,175.3999939,62.5,54.09999847,2372,110,3.150000095,3.579999924,9,86,5800,27,33,10295
3,85,96.5,175.3999939,65.19999695,54.09999847,2465,110,3.150000095,3.579999924,9,101,5800,24,28,12945
4,107,96.5,169.1000061,66,51,2293,110,3.150000095,3.579999924,9.100000381,100,5500,25,31,10345
3,145,113,199.6000061,69.59999847,52.79999924,4066,258,3.630000114,4.170000076,8.100000381,176,4750,15,19,32250
4,104,93.09999847,159.1000061,64.19999695,54.09999847,1890,91,3.029999971,3.150000095,9,68,5000,30,31,5195
4,104,93.09999847,159.1000061,64.19999695,54.09999847,1900,91,3.029999971,3.150000095,9,68,5000,31,38,6095
4,104,93.09999847,159.1000061,64.19999695,54.09999847,1905,91,3.029999971,3.150000095,9,68,5000,31,38,6795
4,113,93.09999847,166.8000031,64.19999695,54.09999847,1945,91,3.029999971,3.150000095,9,68,5000,31,38,6695
4,113,93.09999847,166.8000031,64.19999695,54.09999847,1950,91,3.079999924,3.150000095,9,68,5000,31,38,7395
4,129,98.80000305,177.8000031,66.5,53.70000076,2385,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,8845
3,115,98.80000305,177.8000031,66.5,55.5,2410,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,8495
4,129,98.80000305,177.8000031,66.5,53.70000076,2385,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,10595
3,115,98.80000305,177.8000031,66.5,55.5,2410,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,10245
3,115,98.80000305,177.8000031,66.5,55.5,2425,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,11245
3,118,104.9000015,175,66.09999847,54.40000153,2670,140,3.75999999,3.160000086,8,120,5000,19,27,18280
2,93,110,190.8999939,70.30000305,56.5,3515,183,3.579999924,3.640000105,21.5,123,4350,22,25,25552
2,93,110,190.8999939,70.30000305,58.70000076,3750,183,3.579999924,3.640000105,21.5,123,4350,22,25,28248
3,93,106.6999969,187.5,70.30000305,54.90000153,3495,183,3.579999924,3.640000105,21.5,123,4350,22,25,28176
2,93,115.5999985,202.6000061,71.69999695,56.29999924,3770,183,3.579999924,3.640000105,21.5,123,4350,22,25,31600
6,142,96.59999847,180.3000031,70.5,50.79999924,3685,234,3.460000038,3.099999905,8.300000191,155,4750,16,18,35056
5,161,93.69999695,157.3000031,64.40000153,50.79999924,1918,92,2.970000029,3.230000019,9.399999619,68,5500,37,41,5389
5,161,93.69999695,157.3000031,64.40000153,50.79999924,1944,92,2.970000029,3.230000019,9.399999619,68,5500,31,38,6189
5,161,93.69999695,157.3000031,64.40000153,50.79999924,2004,92,2.970000029,3.230000019,9.399999619,68,5500,31,38,6669
4,161,93,157.3000031,63.79999924,50.79999924,2145,98,3.029999971,3.390000105,7.599999905,102,5500,24,30,7689
6,153,96.30000305,173,65.40000153,49.40000153,2370,110,3.170000076,3.460000038,7.5,116,5500,23,30,9959
6,153,96.30000305,173,65.40000153,49.40000153,2328,122,3.349999905,3.460000038,8.5,88,5000,25,32,8499
4,125,96.30000305,172.3999939,65.40000153,51.59999847,2365,122,3.349999905,3.460000038,8.5,88,5000,25,32,6989
4,125,96.30000305,172.3999939,65.40000153,51.59999847,2405,122,3.349999905,3.460000038,8.5,88,5000,25,32,8189
4,125,96.30000305,172.3999939,65.40000153,51.59999847,2403,110,3.170000076,3.460000038,7.5,116,5500,23,30,9279
2,137,96.30000305,172.3999939,65.40000153,51.59999847,2403,110,3.170000076,3.460000038,7.5,116,5500,23,30,9279
4,128,94.5,165.3000031,63.79999924,54.5,1889,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,5499
4,128,94.5,165.3000031,63.79999924,54.5,2017,103,2.99000001,3.470000029,21.89999962,55,4800,45,50,7099
4,128,94.5,165.3000031,63.79999924,54.5,1918,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,6649
4,122,94.5,165.3000031,63.79999924,54.5,1938,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,6849
4,103,94.5,170.1999969,63.79999924,53.5,2024,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,7349
4,128,94.5,165.3000031,63.79999924,54.5,1951,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,7299
4,128,94.5,165.6000061,63.79999924,53.29999924,2028,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,7799
4,122,94.5,165.3000031,63.79999924,54.5,1971,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,7499
4,103,94.5,170.1999969,63.79999924,53.5,2037,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,7999
5,168,95.09999847,162.3999939,63.79999924,53.29999924,2008,97,3.150000095,3.289999962,9.399999619,69,5200,31,37,8249
3,106,97.19999695,173.3999939,65.19999695,54.70000076,2324,120,3.329999924,3.470000029,8.5,97,5200,27,34,8949
3,106,97.19999695,173.3999939,65.19999695,54.70000076,2302,120,3.329999924,3.470000029,8.5,97,5200,27,34,9549
3,128,100.4000015,181.6999969,66.5,55.09999847,3095,181,3.430000067,3.269999981,9,152,5200,17,22,13499
3,108,100.4000015,184.6000061,66.5,56.09999847,3296,181,3.430000067,3.269999981,9,152,5200,17,22,14399
3,108,100.4000015,184.6000061,66.5,55.09999847,3060,181,3.430000067,3.269999981,9,152,5200,19,25,13499
6,194,91.30000305,170.6999969,67.90000153,49.70000076,3071,181,3.430000067,3.269999981,9,160,5200,19,25,17199
6,194,91.30000305,170.6999969,67.90000153,49.70000076,3139,181,3.430000067,3.269999981,7.800000191,200,5200,17,23,19699
4,231,99.19999695,178.5,67.90000153,49.70000076,3139,181,3.430000067,3.269999981,9,160,5200,19,25,18399
3,161,107.9000015,186.6999969,68.40000153,56.70000076,3020,120,3.460000038,3.190000057,8.399999619,97,5000,19,24,11900
3,161,107.9000015,186.6999969,68.40000153,56.70000076,3197,152,3.700000048,3.519999981,21,95,4150,28,33,13200
3,161,107.9000015,186.6999969,68.40000153,56.70000076,3075,120,3.460000038,2.190000057,8.399999619,95,5000,19,24,15580
3,161,107.9000015,186.6999969,68.40000153,56.70000076,3252,152,3.700000048,3.519999981,21,95,4150,28,33,16900
3,161,107.9000015,186.6999969,68.40000153,56.70000076,3075,120,3.460000038,3.190000057,8.399999619,97,5000,19,24,16630
3,161,107.9000015,186.6999969,68.40000153,56.70000076,3252,152,3.700000048,3.519999981,21,95,4150,28,33,17950
3,161,108,186.6999969,68.30000305,56,3130,134,3.609999895,3.210000038,7,142,5600,18,24,18150
4,119,93.69999695,157.3000031,63.79999924,50.79999924,1918,90,2.970000029,3.230000019,9.399999619,68,5500,37,41,5572
4,119,93.69999695,157.3000031,63.79999924,50.79999924,2128,98,3.029999971,3.390000105,7.599999905,102,5500,24,30,7957
4,154,93.69999695,157.3000031,63.79999924,50.59999847,1967,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,6229
4,154,93.69999695,167.3000031,63.79999924,50.79999924,1989,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,6692
4,154,93.69999695,167.3000031,63.79999924,50.79999924,2191,98,2.970000029,3.230000019,9.399999619,68,5500,31,38,7609
2,74,103.3000031,174.6000061,64.59999847,59.79999924,2535,122,3.349999905,3.460000038,8.5,88,5000,24,30,8921
6,186,94.5,168.8999939,68.30000305,50.20000076,2778,151,3.940000057,3.109999895,9.5,143,5500,19,27,22018
6,150,99.09999847,186.6000061,66.5,56.09999847,2658,121,3.539999962,3.069999933,9.31000042,110,5250,21,28,11850
5,104,99.09999847,186.6000061,66.5,56.09999847,2695,121,3.539999962,3.069999933,9.300000191,110,5250,21,28,12170
6,150,99.09999847,186.6000061,66.5,56.09999847,2707,121,2.539999962,2.069999933,9.300000191,110,5250,21,28,15040
5,104,99.09999847,186.6000061,66.5,56.09999847,2758,121,3.539999962,3.069999933,9.300000191,110,5250,21,28,15510
6,150,99.09999847,186.6000061,66.5,56.09999847,2808,121,3.539999962,3.069999933,9,160,5500,19,26,18150
5,104,99.09999847,186.6000061,66.5,56.09999847,2847,121,3.539999962,3.069999933,9,160,5500,19,26,18620
5,83,93.69999695,156.8999939,63.40000153,53.70000076,2050,97,3.619999886,2.359999895,9,69,4900,31,36,5118
5,83,93.69999695,157.8999939,63.59999847,53.70000076,2120,108,3.619999886,2.640000105,8.699999809,73,4400,26,31,7053
5,83,93.30000305,157.3000031,63.79999924,55.70000076,2240,108,3.619999886,2.640000105,8.699999809,73,4400,26,31,7603
3,102,97.19999695,172,65.40000153,52.5,2145,108,3.619999886,2.640000105,9.5,82,4800,32,37,7126
3,102,97.19999695,172,65.40000153,52.5,2190,108,3.619999886,2.640000105,9.5,82,4400,28,33,7775
3,102,97.19999695,172,65.40000153,52.5,2340,108,3.619999886,2.640000105,9,94,5200,26,32,9960
3,102,97,172,65.40000153,54.29999924,2385,108,3.619999886,2.640000105,9,82,4800,24,25,9233
3,102,97,172,65.40000153,54.29999924,2510,108,3.619999886,2.640000105,7.699999809,111,4800,24,29,11259
3,89,97,173.5,65.40000153,53,2290,108,3.619999886,2.640000105,9,82,4800,28,32,7463
3,89,97,173.5,65.40000153,53,2455,108,3.619999886,2.640000105,9,94,5200,25,31,10198
3,85,96.90000153,173.6000061,65.40000153,54.90000153,2420,108,3.619999886,2.640000105,9,82,4800,23,29,8013
3,85,96.90000153,173.6000061,65.40000153,54.90000153,2650,108,3.619999886,2.640000105,7.699999809,111,4800,23,23,11694
4,87,95.69999695,158.6999969,63.59999847,54.5,1985,92,3.049999952,3.029999971,9,62,4800,35,39,5348
4,87,95.69999695,158.6999969,63.59999847,54.5,2040,92,3.049999952,3.029999971,9,62,4800,31,38,6338
4,74,95.69999695,158.6999969,63.59999847,54.5,2015,92,3.049999952,3.029999971,9,62,4800,31,38,6488
3,77,95.69999695,169.6999969,63.59999847,59.09999847,2280,92,3.049999952,3.029999971,9,62,4800,31,37,6918
3,81,95.69999695,169.6999969,63.59999847,59.09999847,2290,92,3.049999952,3.029999971,9,62,4800,27,32,7898
3,91,95.69999695,169.6999969,63.59999847,59.09999847,3110,92,3.049999952,3.029999971,9,62,4800,27,32,8778
3,91,95.69999695,166.3000031,64.40000153,53,2081,98,3.190000057,3.029999971,9,70,4800,30,37,6938
3,91,95.69999695,166.3000031,64.40000153,52.79999924,2109,98,3.190000057,3.029999971,9,70,4800,30,37,7198
3,91,95.69999695,166.3000031,64.40000153,53,2275,110,3.269999981,3.349999905,22.5,56,4500,34,36,7898
3,91,95.69999695,166.3000031,64.40000153,52.79999924,2275,110,3.269999981,3.349999905,22.5,56,4500,38,47,7788
3,91,95.69999695,166.3000031,64.40000153,53,2094,98,3.190000057,3.029999971,9,70,4800,38,47,7738
3,91,95.69999695,166.3000031,64.40000153,52.79999924,2122,98,3.190000057,3.029999971,9,70,4800,28,34,8358
3,91,95.69999695,166.3000031,64.40000153,52.79999924,2140,98,3.190000057,3.029999971,9,70,4800,28,34,9258
4,168,94.5,168.6999969,64,52.59999847,2169,98,3.190000057,3.029999971,9,70,4800,29,34,8058
4,168,94.5,168.6999969,64,52.59999847,2204,98,3.190000057,3.029999971,9,70,4800,29,34,8238
4,168,94.5,168.6999969,64,52.59999847,2265,98,3.24000001,3.079999924,9.399999619,112,6600,26,29,9298
4,168,94.5,168.6999969,64,52.59999847,2300,98,3.24000001,3.079999924,9.399999619,112,6600,26,29,9538
5,134,98.40000153,176.1999969,65.59999847,52,2540,146,3.619999886,3.5,9.300000191,116,4800,24,30,8449
5,134,98.40000153,176.1999969,65.59999847,52,2536,146,3.619999886,3.5,9.300000191,116,4800,24,30,9639
5,134,98.40000153,176.1999969,65.59999847,52,2551,146,3.619999886,3.5,9.300000191,116,4800,24,30,9989
5,134,98.40000153,176.1999969,65.59999847,52,2679,146,3.619999886,3.5,9.300000191,116,4800,24,30,11199
5,134,98.40000153,176.1999969,65.59999847,52,2714,146,3.619999886,3.5,9.300000191,116,4800,24,30,11549
5,134,98.40000153,176.1999969,65.59999847,53,2975,146,3.619999886,3.5,9.300000191,116,4800,24,30,17669
2,65,102.4000015,175.6000061,66.5,54.90000153,2326,122,3.309999943,3.539999962,8.699999809,92,4200,29,34,8948
2,65,102.4000015,175.6000061,66.5,54.90000153,2480,110,3.269999981,3.349999905,22.5,73,4500,30,33,10698
2,65,102.4000015,175.6000061,66.5,53.90000153,2414,122,3.309999943,3.539999962,8.699999809,92,4200,27,32,9988
2,65,102.4000015,175.6000061,66.5,54.90000153,2414,122,3.309999943,3.539999962,8.699999809,92,4200,27,32,10898
2,65,102.4000015,175.6000061,66.5,53.90000153,2458,122,3.309999943,3.539999962,8.699999809,92,4200,27,32,11248
6,197,102.9000015,183.5,67.69999695,52,2976,171,3.269999981,3.349999905,9.300000191,161,5200,20,24,16558
6,197,102.9000015,183.5,67.69999695,52,3016,171,3.269999981,3.349999905,9.300000191,161,5200,19,24,15998
2,90,104.5,187.8000031,66.5,54.09999847,3131,171,3.269999981,3.349999905,9.199999809,156,5200,20,24,15690
5,122,97.30000305,171.6999969,65.5,55.70000076,2261,97,3.00999999,3.400000095,23,52,4800,37,46,7775
5,122,97.30000305,171.6999969,65.5,55.70000076,2209,109,3.190000057,3.400000095,9,85,5250,27,34,7975
5,94,97.30000305,171.6999969,65.5,55.70000076,2264,97,3.00999999,3.400000095,23,52,4800,37,46,7995
5,94,97.30000305,171.6999969,65.5,55.70000076,2212,109,3.190000057,3.400000095,9,85,5250,27,34,8195
5,94,97.30000305,171.6999969,65.5,55.70000076,2275,109,3.190000057,3.400000095,9,85,5250,27,34,8495
5,94,97.30000305,171.6999969,65.5,55.70000076,2319,97,3.00999999,3.400000095,23,68,4500,37,42,9495
5,94,97.30000305,171.6999969,65.5,55.70000076,2300,109,3.190000057,3.400000095,10,100,5500,26,32,9995
6,256,94.5,165.6999969,64,51.40000153,2221,109,3.190000057,3.400000095,8.5,90,5500,24,29,9980
1,103,104.3000031,188.8000031,67.19999695,56.20000076,2912,141,3.779999971,3.150000095,9.5,114,5400,23,28,12940
2,74,104.3000031,188.8000031,67.19999695,57.5,3034,141,3.779999971,3.150000095,9.5,114,5400,23,28,13415
1,103,104.3000031,188.8000031,67.19999695,56.20000076,2935,141,3.779999971,3.150000095,9.5,114,5400,24,28,15985
2,74,104.3000031,188.8000031,67.19999695,57.5,3042,141,3.779999971,3.150000095,9.5,114,5400,24,28,16515
1,103,104.3000031,188.8000031,67.19999695,56.20000076,3045,130,3.619999886,3.150000095,7.5,162,5100,17,22,18420
2,74,104.3000031,188.8000031,67.19999695,57.5,3157,130,3.619999886,3.150000095,7.5,162,5100,17,22,18950
2,95,109.0999985,188.8000031,68.90000153,55.5,2952,141,3.779999971,3.150000095,9.5,114,5400,23,28,16845
2,95,109.0999985,188.8000031,68.80000305,55.5,3049,141,3.779999971,3.150000095,8.699999809,160,5300,19,25,19045
2,95,109.0999985,188.8000031,68.90000153,55.5,3012,173,3.579999924,2.869999886,8.800000191,134,5500,18,23,21485
2,95,109.0999985,188.8000031,68.90000153,55.5,3217,145,3.00999999,3.400000095,23,106,4800,26,27,22470
2,95,109.0999985,188.8000031,68.90000153,55.5,3062,141,3.779999971,3.150000095,9.5,114,5400,19,25,22625
